X,Y,fid,TIPO,NOMBRE,icon_url
-111.343,26.0128,"1",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL NUM. 03-A SUBSEDE LORETO,
-109.727418,23.108036,"2",SUPERIOR,ESCUELA NORMAL SUPERIOR DEL ESTADO DE BAJA CALIFORNIA SUR PROFR. ENRIQUE ESTRADA LUCERO,
-110.29223,24.043568,"3",SUPERIOR,UNIVERSIDAD TECNOLOGICA DE LA PAZ,
-110.29223,24.043568,"4",SUPERIOR,UNIVERSIDAD TECNOLOGICA DE LA PAZ,
-110.315269,24.10037,"5",SUPERIOR,AREA DE CIENCIAS DEL MAR,
-110.315269,24.10037,"6",SUPERIOR,AREA DE CIENCIAS DEL MAR,
-110.36675,24.091884,"7",SUPERIOR,ESCUELA DE AVIACION NAVAL,
-110.350203,24.140124,"8",SUPERIOR,CENTRO INTERDISCIPLINARIO DE CIENCIAS MARINAS DEL I.P.,
-110.310683,24.147414,"9",SUPERIOR,"BENEMERITA ESCUELA NORMAL URBANA ""PROFR. DOMINGO CARBALLO FELIX""",
-111.348863,26.007131,"10",SUPERIOR,"CENTRO REGIONAL DE EDUCACI?N NORMAL ""PROFESOR MARCELO RUBIO RUIZ""",
-110.42673,24.135377,"11",SUPERIOR,"CENTRO DE INVESTIGACIONES BIOL?GICAS DEL NOROESTE, S.C.",
-110.303614,24.132054,"12",SUPERIOR,"ESCUELA SUPERIOR DE CULTURA F?SICA ""PROFR. ROM?N POZO MNDEZ"" DEL ESTADO DE BAJA CALIFORNIA SUR",
-109.706639,23.069462,"13",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL NUM. 03-A SUBSEDE LOS CABOS,
-110.310859,24.119739,"14",SUPERIOR,INSTITUTO TECNOLOGICO DE LA PAZ,
-110.310859,24.119739,"15",SUPERIOR,INSTITUTO TECNOLOGICO DE LA PAZ,
-110.324753,24.117428,"16",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL NUM. 03-A,
-110.31541,24.111236,"17",SUPERIOR,ESCUELA NORMAL SUPERIOR DEL ESTADO DE BAJA CALIFORNIA SUR PROFR. ENRIQUE ESTRADA LUCERO,
-111.650324,25.037782,"18",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL NUM. 03-A SUBSEDE COMONDU,
-110.315269,24.10037,"19",SUPERIOR,AREA INTERDISCIPLINARIA DE CIENCIAS SOCIALES Y HUMANIDADES,
-110.315269,24.10037,"20",SUPERIOR,AREA INTERDISCIPLINARIA DE CIENCIAS SOCIALES Y HUMANIDADES,
-109.925,22.897,"21",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL 03-A EXTENSION SUBSEDE CABO SAN LUCAS,
-110.337756,24.138598,"22",SUPERIOR,CENTRO DE REHABILITACI?N Y EDUCACI?N ESPECIAL CREE LA PAZ,
-111.652777,25.025325,"23",SUPERIOR,ESCUELA NORMAL SUPERIOR DEL ESTADO DE BAJA CALIFORNIA SUR.PROFR ENRIQUE ESTRADA LUCERO,
-112.268424,27.339481,"24",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL NUM. 03-A SUBSEDE MULEGE,
-110.315269,24.10037,"25",SUPERIOR,AREA DE CIENCIAS AGROPECUARIAS,
-110.315269,24.10037,"26",SUPERIOR,AREA DE CIENCIAS AGROPECUARIAS,
-113.441426,27.668357,"27",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL NUM. 03-A EXTENSION SUBSEDE VIZCAINO,
-114.020017,27.981742,"28",SUPERIOR,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR CAMPUS GUERRERO NEGRO,
-111.640101,25.042899,"29",SUPERIOR,INSTITUTO TECNOL?GICO SUPERIOR DE CIUDAD CONSTITUCI?N,
-111.777961,25.26295,"30",SUPERIOR,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR CAMPUS CIUDAD INSURGENTES,
-112.240854,27.320101,"31",SUPERIOR,INSTITUTO TECNOL?GICO SUPERIOR DE MULEG,
-112.240854,27.320101,"32",SUPERIOR,INSTITUTO TECNOL?GICO SUPERIOR DE MULEG,
-109.718047,23.079794,"33",SUPERIOR,INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES LOS CABOS,
-111.353951,26.007301,"34",SUPERIOR,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR CAMPUS LORETO,
-111.353951,26.007301,"35",SUPERIOR,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR CAMPUS LORETO,
-109.913253,22.896175,"36",SUPERIOR,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR CAMPUS CABO SAN LUCAS,
-109.913253,22.896175,"37",SUPERIOR,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR CAMPUS CABO SAN LUCAS,
-109.913253,22.896175,"38",SUPERIOR,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA SUR CAMPUS CABO SAN LUCAS,
-114.041841,27.97298,"39",SUPERIOR,UNIDAD UNIVERSIDAD PEDAGOGICA NACIONAL NUM. 03-A EXTENSION SUBSEDE MULEGE,
